Index,Type,Price,Area,Location
734,T2,162500,66,Porto
735,T4,410000,154.51,Setúbal
736,T2,162500,66.78,Porto
737,T3,198000,115,Setúbal
738,T2,280000,116,Faro
739,T3,275000,105.50,Porto
740,T1,245000,62,Porto
742,T3,300000,97,Lisboa
743,T4,Preçosobconsulta,315,Lisboa
744,T2,240000,104,Porto
745,T3,565000,103.40,Porto
746,T1,160000,72,Lisboa
747,T1,139000,42,Porto
748,T2,355000,95,Porto
749,T3,445000,116,Porto
750,T2,172000,94,Coimbra
751,T3,212500,80,Lisboa
752,T3,169000,111,Porto
753,T1,185000,38,Porto
754,T4,820000,237.80,Porto
755,T3,240000,85,Lisboa
756,T2,189000,76,Setúbal
757,T2,149900,95,Porto
758,T3,427000,117,Lisboa
759,T1,262000,57,Porto
760,T2,790000,110,Lisboa
761,T4,1150000,156,Lisboa
762,T5,199900,241,Braga
763,T4,1250000,218,Porto
764,T3,365000,165,Porto
765,T2,420000,89,Porto
767,T2,159900,82,Porto
768,T4,150000,116,Porto
769,T2,310000,93.70,Faro
770,T1,250000,60,Braga
771,T2,280000,77.55,Faro
772,T1,175000,53,Lisboa
773,T3,525010,134,Porto
774,T2,260000,93.70,Faro
775,T2,500000,99,Faro
776,T2,490000,95,Faro
777,T2,298000,126.60,Faro
778,T3,220000,138,Leiria
779,T3,310000,89,Lisboa
780,T2,357500,74,Lisboa
781,T3,320000,96,Lisboa
782,T2,340000,93,Lisboa
783,T2,178000,89,Porto
784,T2,314900,98,Lisboa
785,T2,188500,96,Porto
786,T3,290000,97,Lisboa
787,T2,260000,85.50,Porto
788,T2,255000,92.45,Porto
789,T2,240000,74.80,Porto
790,T2,250000,89.15,Porto
791,T2,245000,91.20,Porto
792,T3,245000,103.57,Porto
793,T2,265000,85.50,Porto
794,T2,250000,92.45,Porto
795,T2,370000,110,Lisboa
796,T2,240000,91.20,Porto
798,T2,249000,85,Porto
799,T2,245000,89.15,Porto
800,T2,250000,91.20,Porto
801,T2,255000,89.15,Porto
802,T2,230000,71.80,Porto
803,T2,240000,92.45,Porto
804,T3,374900,143,Braga
805,T3,315000,100,Lisboa
806,T2,275000,108,Porto
807,T2,255000,85.50,Porto
808,T2,235000,91.20,Porto
809,T2,245000,92.45,Porto
810,T2,235000,74.80,Porto
811,T1,165000,58,Porto
812,T2,190000,79,Faro
813,T1,175000,62.15,Porto
814,T0,130000,36.60,Porto
815,T2,249000,80,Porto
816,T3,1150000,150,Lisboa
817,T2,225000,86.40,Porto
818,T2,225000,71.80,Porto
819,T2,220000,71.80,Porto
820,T3,218000,76,Porto
821,T2,385400,97,Porto
822,T2,270000,90,Porto
823,T2,307500,99.50,Faro
824,T2,230000,87.20,Porto
825,T2,230000,74.80,Porto
826,T3,399000,150,Braga
827,T1,175000,43,Faro
828,T3,200000,100,Braga
829,T2,210000,90,Setúbal
830,T3,348500,103.50,Faro
831,T1,160000,72.30,Aveiro
832,T2,220000,109,Porto
833,T3,269900,108,Setúbal
834,T2,195000,77,Porto
835,T3,500000,127,Lisboa
837,T4,259900,150,Braga
838,T1,194900,68.38,Porto
839,T2,270000,90,Lisboa
840,T4,620500,160,Porto
841,T4,620500,150,Porto
842,T3,550000,135,Porto
843,T4,299000,190,Coimbra
844,T2,270000,97,Ilha de São Miguel
845,T2,280000,88,Lisboa
846,T3,167000,85,Setúbal
847,T1,330000,58,Lisboa
848,T3,698000,287.85,Setúbal
849,T2,170000,101,Braga
850,T2,235000,111,Setúbal
851,T3,760000,198,Porto
852,T2,315000,117.40,Porto
853,T1,170000,38,Lisboa
854,T2,160000,69,Coimbra
855,T3,565000,103.40,Porto
856,T3,169000,102,Leiria
857,T2,380000,129,Ilha de São Miguel
858,T2,185000,94,Lisboa
859,T4,445000,115,Braga
860,T3,440000,119,Lisboa
861,T2,539000,106,Lisboa
862,T0,230000,56.80,Porto
863,T3,445000,126,Lisboa
864,T3,605000,130.80,Faro
865,T3,425000,133,Porto
866,T2,441000,107.34,Faro
867,T3,587500,122.15,Faro
868,T2,369000,99.10,Faro
869,T2,320000,111,Faro
870,T2,170000,85,Lisboa
871,T4,515000,148,Lisboa
872,T2,280000,77,Faro
873,T2,260000,66,Faro
874,T2,320000,112,Faro
875,T2,331500,117.50,Porto
876,T3,219900,116,Braga
877,T2,470000,130.74,Porto
878,T2,185000,85,Lisboa
879,T3,485000,131,Aveiro
880,T0,189510,34,Porto
881,T4,395000,169,Setúbal
882,T3,145000,117.60,Viana do Castelo
883,T2,349000,119,Braga
884,T3,180000,95,Setúbal
885,T2,325000,94,Faro
886,T2,204990,104,Porto
887,T2,242619,69.67,Porto
888,T2,154900,76,Setúbal
889,T1,178000,55,Lisboa
890,T2,185000,93,Lisboa
891,T3,650000,102,Lisboa
892,T2,775000,112,Faro
893,T2,215000,93,Lisboa
895,T2,575000,95,Faro
896,T3,215000,106,Faro
897,T2,325000,80,Faro
898,T3,295000,117.50,Lisboa
899,T1,228510,53,Porto
900,T1,170000,48.21,Lisboa
901,T1,498000,57.20,Lisboa
902,T2,780000,65.62,Lisboa
903,T1,210000,102,Porto
904,T2,515000,75,Lisboa
905,T3,615000,134,Porto
906,T2,265000,83,Porto
907,T3,315950,133,Porto
908,T2,178000,84.50,Porto
909,T3,235000,116,Porto
910,T3,280000,124,Braga
911,T4,487000,135,Faro
912,T2,450000,82,Lisboa
913,T2,250000,71,Lisboa
914,T3,173500,103,Setúbal
915,T1,142500,56,Porto
916,T2,265000,89,Aveiro
